요소,평균기온(℃)
1912,11.8
1913,11.5
1914,13.1
1915,12.3
1916,12.2
1917,11.1
1918,11.6
1919,12.1
1920,12.5
1921,12
1922,12.3
1923,11.9
1924,12
1925,11.9
1926,11.7
1927,12.2
1928,12.1
1929,12.4
1930,12.7
1931,11.9
1932,12.4
1933,12
1934,11.6
1935,12.6
1936,11.2
1937,12.7
1938,12.2
1939,12.8
1940,12.2
1941,12.3
1942,12.4
1943,12.7
1944,12.3
1945,11.7
1946,12.6
1947,11
1948,12.9
1949,12.6
1954,12.6
1955,12.8
1956,11.4
1957,11.8
1958,12.7
1959,13.3
1960,13.2
1961,13.5
1962,12.8
1963,12.2
1964,13.1
1965,12.4
1966,12.6
1967,12.6
1968,12.5
1969,12
1970,12.3
1971,12.5
1972,12.7
1973,13.1
1974,12.1
1975,13.2
1976,12.4
1977,13
1978,13.5
1979,13.5
1980,12
1981,12.2
1982,13.3
1983,13.1
1984,12.5
1985,12.8
1986,12.2
1987,13
1988,13
1989,13.7
1990,13.9
1991,13.2
1992,13.5
1993,12.8
1994,14.4
1995,13.2
1996,13
1997,13.7
1998,14.4
1999,13.9
2000,13.6
2001,13.8
2002,13.7
2003,13.3
2004,14
2005,13.1
2006,13.7
2007,14.2
2008,13.9
2009,13.8
2010,13.4
2011,13.1
2012,13.1
2013,13.7
2014,14
2015,14.2
2016,14.3
2017,13.9
2018,13.8
2019,14.4
2020,14
