요소,일수
1912,1
1913,1.5
1914,8.5
1915,4.3
1916,0.8
1917,2.2
1918,0.7
1919,2.3
1920,1.8
1921,1.7
1922,6.5
1923,4.2
1924,4.3
1925,0.5
1926,4.2
1927,4
1928,1.2
1929,11.2
1930,7.3
1931,2.3
1932,7.3
1933,3.8
1934,3
1935,5
1936,0.3
1937,7.5
1938,2.3
1939,5.8
1940,1
1941,0.3
1942,10.5
1943,3.2
1944,8.5
1945,0.8
1946,3.2
1947,2.3
1948,1
1949,2.7
1954,5.2
1955,3.8
1956,8.2
1957,0.3
1958,3.8
1959,5.7
1960,9.5
1961,10
1962,4
1963,3
1964,13.8
1965,1.5
1966,12.3
1967,22.2
1968,2
1969,7.7
1970,3.7
1971,6.3
1972,5
1973,10.8
1974,1.7
1975,10
1976,3.7
1977,7.3
1978,15.8
1979,5.3
1980,0
1981,7.8
1982,4.2
1983,7.3
1984,12
1985,10.2
1986,2.5
1987,1
1988,3.5
1989,2.3
1990,10.5
1991,3.3
1992,5.5
1993,0
1994,31.8
1995,14.3
1996,12
1997,10
1998,6.2
1999,4
2000,10.3
2001,14
2002,5.3
2003,1.8
2004,7.3
2005,10
2006,14.3
2007,13.5
2008,10.8
2009,1.8
2010,19
2011,6.7
2012,19.3
2013,24.8
2014,5.2
2015,9.8
2016,23.8
2017,15.5
2018,28.5
2019,19.3
2020,14.2
