지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd)
90,속초,2002-01,.8,5,-2.9,15.8,-11,20020112,20020102
90,속초,2002-02,4.2,8.7,-.4,14.2,-6.3,20020220,20020212
90,속초,2002-03,8.7,13.5,3.6,20.3,-1,20020321,20020308
90,속초,2002-04,12.2,17.2,7.6,29.6,2.5,20020414,20020404
90,속초,2002-05,15.6,20.1,11.1,28.4,4.8,20020521,20020502
90,속초,2002-06,19.5,24,15.5,33.1,11.9,20020607,20020627
90,속초,2002-07,21.9,25.5,19.2,36.6,17,20020731,20020711
90,속초,2002-08,22.7,26,20.4,34.6,15.6,20020802,20020812
90,속초,2002-09,19.1,23.3,15.3,34.1,12.1,20020902,20020918
90,속초,2002-10,13,17.7,8.6,24.5,.2,20021013,20021028
90,속초,2002-11,5.1,9.6,.7,21,-3.5,20021111,20021119
90,속초,2002-12,1.2,4.9,-2.6,17.6,-9.8,20021204,20021210
90,속초,2003-01,-1.6,2.6,-5.9,11.3,-14.8,20030113,20030129
90,속초,2003-02,1.6,5.4,-2.1,11.1,-9.8,20030209,20030212
90,속초,2003-03,4.5,8.8,.8,19.9,-7.3,20030326,20030304
90,속초,2003-04,11,16.1,6.4,26.6,-.1,20030428,20030409
90,속초,2003-05,14.8,19,11.3,27.7,4.4,20030502,20030509
90,속초,2003-06,20.3,24.3,17.1,31.2,11.8,20030620,20030603
90,속초,2003-07,20.8,23.7,18.6,27.6,16.7,20030720,20030705
90,속초,2003-08,22.5,26,19.6,33.2,16.3,20030822,20030830
90,속초,2003-09,19.7,23.6,16.2,28.5,9.5,20030914,20030930
90,속초,2003-10,14.1,19,9.3,23,3.6,20031002,20031029
90,속초,2003-11,9.3,12.6,5.4,23.3,-2.9,20031102,20031123
90,속초,2003-12,2.9,7,-1.2,12.8,-8.2,20031223,20031220
90,속초,2004-01,.5,4.6,-3.3,9.6,-15.6,20040109,20040122
90,속초,2004-02,3.6,7.9,-.5,19.1,-7.9,20040219,20040206
90,속초,2004-03,6.9,11.5,2.1,22.9,-5.7,20040316,20040307
90,속초,2004-04,12.7,18.8,7.5,29,2.4,20040421,20040404
90,속초,2004-05,16.7,21.9,12.3,29.2,7.7,20040529,20040501
90,속초,2004-06,20.8,25.2,17.1,31.3,12.7,20040629,20040611
90,속초,2004-07,23.9,27.3,21.1,37.1,17,20040723,20040714
90,속초,2004-08,23.1,26.6,20.1,34.3,16.1,20040807,20040825
90,속초,2004-09,20.1,24,16.8,30.5,13.4,20040901,20040923
90,속초,2004-10,14.8,19.5,10.2,25.1,6.6,20041001,20041028
90,속초,2004-11,10.6,14.9,6.2,20.1,1.5,20041108,20041113
90,속초,2004-12,4.2,8.7,.1,17.8,-6.3,20041203,20041230
90,속초,2005-01,-.1,3.9,-4.2,9.8,-9.6,20050103,20050109
90,속초,2005-02,-.8,3.1,-4.8,7.3,-13.1,20050228,20050201
90,속초,2005-03,4.2,8.4,-.2,18.1,-7.9,20050328,20050312
90,속초,2005-04,12.8,17.5,7.9,32,.4,20050428,20050404
90,속초,2005-05,14.4,19.3,10.4,29.7,6,20050503,20050507
90,속초,2005-06,20.6,24.8,17.4,33.2,12.6,20050624,20050605
90,속초,2005-07,24,27.5,21.3,34.4,17.4,20050721,20050710
90,속초,2005-08,25,28.8,21.9,36,16.6,20050814,20050826
90,속초,2005-09,20,23.6,16.7,32.2,13.3,20050912,20050928
90,속초,2005-10,15,19.6,10.5,27.7,4.5,20051002,20051022
90,속초,2005-11,9.8,14.2,5.7,22.4,-.7,20051103,20051120
90,속초,2005-12,-1.4,2.8,-5.9,11.6,-13.1,20051201,20051218
90,속초,2006-01,.2,3.9,-3.3,8.3,-9.6,20060115,20060107
90,속초,2006-02,1.5,5.8,-2.7,16.1,-11.9,20060214,20060203
90,속초,2006-03,6,10.9,.9,18.9,-6.4,20060325,20060313
90,속초,2006-04,9.5,13.7,6.1,25.6,1.9,20060430,20060416
90,속초,2006-05,14.4,19.6,10.5,29.8,3.8,20060530,20060503
90,속초,2006-06,18.4,21.9,15.6,30.8,12.1,20060627,20060609
90,속초,2006-07,21,24.1,18.8,32.6,15,20060729,20060705
90,속초,2006-08,25.2,28.7,22.2,33,16.7,20060807,20060819
90,속초,2006-09,19.1,23.3,15.1,27.4,10.9,20060904,20060911
90,속초,2006-10,17.1,21.2,13.3,29.3,8.4,20061010,20061025
90,속초,2006-11,8.5,12.3,4.6,20.6,-.8,20061109,20061107
90,속초,2006-12,2,6.6,-1.8,11.3,-11.2,20061226,20061229
90,속초,2007-01,.7,5,-2.9,8.9,-7.8,20070101,20070113
90,속초,2007-02,4.1,8.7,-.7,18.8,-8.6,20070222,20070201
90,속초,2007-03,6.6,11,2.5,19,-6,20070326,20070306
90,속초,2007-04,11.7,16.1,7.4,27.6,1.9,20070429,20070405
90,속초,2007-05,17.1,21.9,13.1,30.3,7.2,20070526,20070510
90,속초,2007-06,20.3,24.6,16.4,30.5,12.1,20070623,20070617
90,속초,2007-07,22.1,24.8,19.9,34.5,16.9,20070728,20070715
90,속초,2007-08,24.9,28.9,21.9,35.3,18.6,20070825,20070814
90,속초,2007-09,20.7,24.3,17.8,30,13,20070921,20070929
90,속초,2007-10,15.3,19.9,11.6,27.8,4.5,20071007,20071020
90,속초,2007-11,8.4,13.2,4.2,19.9,-4.1,20071107,20071119
90,속초,2007-12,3.5,7.7,.1,11.8,-6.8,20071225,20071230
90,속초,2008-01,.3,4.3,-3.4,10.7,-9.5,20080106,20080117
90,속초,2008-02,1.3,5.8,-2.9,12.8,-9.8,20080222,20080213
90,속초,2008-03,7.3,11.4,3,17.7,-1.3,20080313,20080305
90,속초,2008-04,13.1,17.4,8.7,29.5,4.9,20080430,20080414
90,속초,2008-05,16.8,21.7,12.7,29.8,6.7,20080503,20080511
