url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_f358a2f4fa06d4d2d3c82155c4cd8505
주제,통검
범위,합계
기간,일간 : 2021-07-01 ~ 2021-07-31
성별,"전체(여성,남성)"
연령대,전체
날짜,불면증
2021-07-01,22.05948
2021-07-02,22.55317
2021-07-03,9.77496
2021-07-04,5.83782
2021-07-05,6.54543
2021-07-06,7.94009
2021-07-07,12.95511
2021-07-08,13.67507
2021-07-09,11.65096
2021-07-10,14.85991
2021-07-11,32.42275
2021-07-12,79.13769
2021-07-13,100
2021-07-14,78.12564
2021-07-15,55.58481
2021-07-16,25.50705
2021-07-17,18.93693
2021-07-18,22.98926
2021-07-19,24.03011
2021-07-20,26.37511
2021-07-21,36.32286
2021-07-22,37.9726
2021-07-23,32.86707
2021-07-24,30.74423
2021-07-25,30.37808
2021-07-26,30.43979
2021-07-27,28.28814
2021-07-28,25.81972
2021-07-29,23.31427
2021-07-30,18.82173
2021-07-31,17.83848
