url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_bd60bad96a07b938a898c4397c939d4f
주제,통검
범위,합계
기간,일간 : 2021-07-01 ~ 2021-07-31
성별,"전체(여성,남성)"
연령대,전체
날짜,불면증
2021-07-01,21.92704
2021-07-02,22.09103
2021-07-03,9.46029
2021-07-04,5.97281
2021-07-05,6.6069
2021-07-06,8.14474
2021-07-07,12.6781
2021-07-08,13.70941
2021-07-09,11.73062
2021-07-10,14.5002
2021-07-11,30.91724
2021-07-12,76.33468
2021-07-13,100.0
2021-07-14,81.65154
2021-07-15,61.25505
2021-07-16,31.15775
2021-07-17,20.99777
2021-07-18,25.14121
2021-07-19,26.32557
2021-07-20,28.88014
2021-07-21,41.14281
2021-07-22,42.85558
2021-07-23,37.37108
2021-07-24,34.90397
2021-07-25,34.0403
2021-07-26,35.21008
2021-07-27,33.20943
2021-07-28,30.04263
2021-07-29,26.44947
2021-07-30,21.65372
2021-07-31,20.17783
