url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_1989f4be4024373d172f414fc0052f2d
주제,통검
범위,합계
기간,일간 : 2021-08-01 ~ 2021-08-31
성별,"전체(여성,남성)"
연령대,전체
날짜,불면증
2021-08-01,91.07395
2021-08-02,84.52661
2021-08-03,84.40885
2021-08-04,92.20442
2021-08-05,100
2021-08-06,88.0829
2021-08-07,79.93405
2021-08-08,71.03155
2021-08-09,81.53556
2021-08-10,66.34479
2021-08-11,57.41874
2021-08-12,53.27366
2021-08-13,40.69712
2021-08-14,31.3707
2021-08-15,35.9397
2021-08-16,35.82195
2021-08-17,32.59538
2021-08-18,30.42863
2021-08-19,30.16957
2021-08-20,29.51012
2021-08-21,23.81064
2021-08-22,23.83419
2021-08-23,33.27837
2021-08-24,30.94677
2021-08-25,32.90155
2021-08-26,33.63165
2021-08-27,29.03909
2021-08-28,23.29251
2021-08-29,26.47197
2021-08-30,28.16768
2021-08-31,27.22562
