url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_ad2a52460fa11d49a3691ad16867824c
주제,통검
범위,합계
기간,일간 : 2021-08-01 ~ 2021-08-31
성별,"전체(여성,남성)"
연령대,전체
날짜,불면증
2021-08-01,88.4095
2021-08-02,84.8446
2021-08-03,83.87568
2021-08-04,91.9744
2021-08-05,100.0
2021-08-06,88.19012
2021-08-07,77.58683
2021-08-08,69.21389
2021-08-09,83.94881
2021-08-10,69.14076
2021-08-11,57.38574
2021-08-12,52.43144
2021-08-13,40.23765
2021-08-14,34.02193
2021-08-15,36.4351
2021-08-16,36.19744
2021-08-17,34.04021
2021-08-18,31.42595
2021-08-19,29.63436
2021-08-20,27.87934
2021-08-21,22.12065
2021-08-22,22.43144
2021-08-23,30.4936
2021-08-24,28.08043
2021-08-25,29.36014
2021-08-26,30.95063
2021-08-27,26.34369
2021-08-28,21.55393
2021-08-29,23.89396
2021-08-30,25.59414
2021-08-31,24.25959
