url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_63a7e0d2b8146890c163036c488d4652
주제,통검
범위,합계
기간,일간 : 2022-07-01 ~ 2022-07-31
성별,"전체(여성,남성)"
연령대,전체
날짜,불면증
2022-07-01,35.44327
2022-07-02,59.32424
2022-07-03,87.16057
2022-07-04,100
2022-07-05,73.71977
2022-07-06,65.47427
2022-07-07,52.07067
2022-07-08,28.37569
2022-07-09,20.79975
2022-07-10,25.48667
2022-07-11,22.85182
2022-07-12,19.57222
2022-07-13,15.85244
2022-07-14,14.41413
2022-07-15,15.57346
2022-07-16,13.168
2022-07-17,15.76565
2022-07-18,18.2765
2022-07-19,18.78487
2022-07-20,17.52014
2022-07-21,12.44265
2022-07-22,12.12647
2022-07-23,11.09733
2022-07-24,13.94296
2022-07-25,28.80967
2022-07-26,46.05083
2022-07-27,43.51518
2022-07-28,41.5437
2022-07-29,61.5189
2022-07-30,53.2114
2022-07-31,32.13267
