url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_e2a20857e59271e1bddbf8c901b7a997
주제,통검
범위,합계
기간,일간 : 2022-08-01 ~ 2022-08-31
성별,"전체(여성,남성)"
연령대,전체
날짜,불면증
2022-08-01,55.02213
2022-08-02,49.72329
2022-08-03,57.62313
2022-08-04,78.23741
2022-08-05,81.80686
2022-08-06,100
2022-08-07,94.89485
2022-08-08,65.08024
2022-08-09,33.28721
2022-08-10,29.20586
2022-08-11,26.3835
2022-08-12,30.39568
2022-08-13,27.58716
2022-08-14,34.07581
2022-08-15,41.3669
2022-08-16,40.27393
2022-08-17,33.4809
2022-08-18,30.16048
2022-08-19,28.84615
2022-08-20,36.45545
2022-08-21,42.57055
2022-08-22,38.36469
2022-08-23,23.92086
2022-08-24,22.34366
2022-08-25,19.27227
2022-08-26,16.94798
2022-08-27,13.71057
2022-08-28,14.48533
2022-08-29,18.05478
2022-08-30,16.11787
2022-08-31,16.62977
