일,검색량,최저기온
1,13.61974,19.7
2,14.15513,17.9
3,12.91459,16.6
4,13.67197,16.9
5,13.90049,17.6
6,12.24862,17.3
7,14.78192,18.9
8,13.21493,18.3
9,13.41081,18.3
10,11.58265,19.6
11,14.67746,17.9
12,16.13345,18.4
13,14.55993,19.2
14,13.38469,17.5
15,13.02559,17.7
16,18.03342,19.1
17,22.93026,18.9
18,55.85009,20.8
19,100,23.3
20,40.29772,21.4
21,13.45651,19.2
22,13.01253,18.9
23,16.59049,20
24,29.50509,21.9
25,49.98041,22.8
26,29.75972,22.3
27,25.48315,21.4
28,30.16453,24.2
29,29.08069,23.2
30,21.24575,23.2
