url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_f5d3a71a1aa566c4980021190536d969
주제,통검
범위,합계
기간,일간 : 2023-06-01 ~ 2023-06-30
성별,"전체(여성,남성)"
연령대,전체
날짜,불면증
2023-06-01,13.61974
2023-06-02,14.15513
2023-06-03,12.91459
2023-06-04,13.67197
2023-06-05,13.90049
2023-06-06,12.24862
2023-06-07,14.78192
2023-06-08,13.21493
2023-06-09,13.41081
2023-06-10,11.58265
2023-06-11,14.67746
2023-06-12,16.13345
2023-06-13,14.55993
2023-06-14,13.38469
2023-06-15,13.02559
2023-06-16,18.03342
2023-06-17,22.93026
2023-06-18,55.85009
2023-06-19,100.0
2023-06-20,40.29772
2023-06-21,13.45651
2023-06-22,13.01253
2023-06-23,16.59049
2023-06-24,29.50509
2023-06-25,49.98041
2023-06-26,29.75972
2023-06-27,25.48315
2023-06-28,30.16453
2023-06-29,29.08069
2023-06-30,21.24575
